Method,Recall@1 (%),Recall@5 (%),Recall@10 (%),mAP,Query Latency (ms),Throughput (QPS),RAM (GB),Disk (GB),Index Build Time (s),Preprocessing Time (s)
Foldseek,61.2,67.4,71.3,0.598,12.0,83.3,6.8,2.4,345,0
dMaSIF + HNSW,82.1,86.5,88.2,0.792,1.1,909.0,74.1,74.1,1820,14500
FAISS Flat (FP32),100.0,100.0,100.0,1.0,251.11,3.98,57.47,57.5,0,14500
FAISS HNSW-32,78.4,84.1,86.0,0.765,1.1,909.0,74.1,74.1,1820,14500
FAISS IVF-SQ8,92.1,96.3,98.7,0.902,272.01,3.67,14.37,14.4,310,14500
FAISS IVF-PQ48,18.5,21.2,23.9,0.174,7.24,138.1,3.57,3.6,450,14500
Pithos (Ours),89.2,92.7,94.6,0.884,24.1,41.5,0.28,15.88,120,14500
